Title,ID,Stock,Upvotes,Stockprice,Timestamp
['I’m selling'],['s5hed9'],['GME'],"['0, 0']","['116, 116']","['27372603, 27372767']"
"['TIL: One of the most explosive dot com IPOs, LNUX, is a subsidiary of GME']",['s5h5wh'],['IPO'],"['1, 35']","['49, 49']","['27372603, 27372767']"
"['I need a dollar, dollar a dollar is what I need']",['s5gzid'],['GME'],"['1, 0']","['116, 116']","['27372603, 27372767']"
['Acorn referral $55 to anyone that use my referral. MUST INVEST $5 Cashapp ready.'],['s5gxwx'],['MUST'],"['0, 0']","['22, 22']","['27372603, 27372767']"
['Imminent rotation rather than bear market'],['s5gqpb'],['A'],"['5, 10']","['144, 144']","['27372603, 27372767']"
['Balls Deep In TQQQ SOXL'],['s5fcpk'],['TQQQ'],"['0, 0']","['71, 71']","['27372603, 27372767']"
['I don’t know nothing'],['s5ee7n'],['CDC'],"['3, 2']","['71, 71']","['27372603, 27372767']"
"['🕵️\u200d♂️ I SPY TA - Tuesday Jan. 18, 2022']",['s5dpyc'],['SPY'],"['23, 35']","['464, 464']","['27372603, 27372767']"
['$BA looks primed for a run. Broke the top trend line on the weekly chart this past week. I’ll be buying calls at market open on Tuesday.'],['s5cdsn'],['BA'],"['27, 40']","['225, 225']","['27372603, 27372767']"
['Performance till-date for some of the most popular IPOs of 2021. How was your IPO experience last year?'],['s5acgn'],['IPO'],"['204, 292']","['49, 49']","['27372603, 27372767']"
['Hopium needed'],['s5a8k0'],['AMC'],"['0, 0']","['20, 20']","['27372603, 27372767']"
['Natural Selection'],['s56e19'],['DD'],"['42, 52']","['84, 84']","['27372603, 27372767']"
['Golden Cross on Gold Price Might Be Signalling A Major Bullish Upwards Move'],['s55goq'],['A'],"['16, 20']","['144, 144']","['27372603, 27372767']"
['Here you have great DD done on Sorrento'],['s54pm5'],['DD'],"['7, 5']","['84, 84']","['27372603, 27372767']"
"[""Turning around Cathie Wood's Titanic""]",['s542hr'],['ARKK'],"['49, 50']","['80, 80']","['27372603, 27372767']"
['This is what I did with my GME earnings'],['s52np9'],['GME'],"['1, 3']","['116, 116']","['27372603, 27372767']"
"['ARKK (Cathie Wood) - the good, the bad and the amazing.']",['s50mea'],['ARKK'],"['35, 39']","['80, 80']","['27372603, 27372767']"
"[""You're all about to lose a lot of money.""]",['s4z8i9'],['NYC'],"['16398, 17495']","['11, 11']","['27372604, 27372767']"
['Why AMC won’t squeeze to 100K (Using basic Logic)'],['s4ycc3'],['AMC'],"['0, 0']","['20, 20']","['27372604, 27372767']"
"['Let’s be honest! Out of all meme stock GME, AMC, BB and NOK, Nokia seems to be the most promising one. Just saying 🤷\u200d♂️']",['s4y7z1'],['BB'],"['0, 0']","['9, 9']","['27372604, 27372767']"
['Unpopular opinion : No crash in the near term'],['s4y3ss'],['HUGE'],"['145, 148']","['1, 1']","['27372604, 27372767']"
['$TSLA You win some; you lose some 🤷🏻\u200d♂️'],['s4vymx'],['TSLA'],"['17, 19']","['1049, 1049']","['27372604, 27372767']"
"[""Here is a graph of TMS to January 2022. When Money Supply growth is held below 5% for any period of time over last 25 years, there's been a market crash. 'Money Supply' = liquidity proxy. Massive jolt (Inflation) in last 2 years - now heading toward the 5% threshold. Signal: party over. Thoughts?""]",['s4vpda'],['TMS'],"['44, 48']","['72400, 72400']","['27372604, 27372767']"
['15k to 134k in a Day $tsla $Goog Puts'],['s4vnhw'],['tsla'],"['194, 205']","['1049, 1049']","['27372604, 27372767']"
['Tesla asked firm to fire attorney who worked on Musk probe at SEC'],['s4shp1'],['A'],"['121, 121']","['144, 144']","['27372604, 27372767']"
['$3k to $40k in a week'],['s4r0vm'],['TA'],"['324, 334']","['45, 45']","['27372604, 27372767']"
['I’m selling'],['s5hed9'],['GME'],"['0, 0, 0']","['116, 116, 116']","['27372603, 27372766, 27372767']"
"['TIL: One of the most explosive dot com IPOs, LNUX, is a subsidiary of GME']",['s5h5wh'],['IPO'],"['1, 34, 33']","['49, 49, 49']","['27372603, 27372766, 27372767']"
"['I need a dollar, dollar a dollar is what I need']",['s5gzid'],['GME'],"['1, 0, 1']","['116, 116, 116']","['27372603, 27372766, 27372767']"
['Acorn referral $55 to anyone that use my referral. MUST INVEST $5 Cashapp ready.'],['s5gxwx'],['MUST'],"['0, 0, 0']","['22, 22, 22']","['27372603, 27372766, 27372767']"
['Imminent rotation rather than bear market'],['s5gqpb'],['A'],"['5, 10, 10']","['144, 144, 144']","['27372603, 27372766, 27372767']"
['Balls Deep In TQQQ SOXL'],['s5fcpk'],['TQQQ'],"['0, 0, 0']","['71, 71, 71']","['27372603, 27372766, 27372767']"
['I don’t know nothing'],['s5ee7n'],['CDC'],"['3, 1, 3']","['71, 71, 71']","['27372603, 27372766, 27372767']"
"['🕵️\u200d♂️ I SPY TA - Tuesday Jan. 18, 2022']",['s5dpyc'],['SPY'],"['23, 33, 37']","['464, 464, 464']","['27372603, 27372766, 27372767']"
['$BA looks primed for a run. Broke the top trend line on the weekly chart this past week. I’ll be buying calls at market open on Tuesday.'],['s5cdsn'],['BA'],"['27, 38, 40']","['225, 225, 225']","['27372603, 27372766, 27372767']"
['Performance till-date for some of the most popular IPOs of 2021. How was your IPO experience last year?'],['s5acgn'],['IPO'],"['204, 290, 292']","['49, 49, 49']","['27372603, 27372766, 27372768']"
['Hopium needed'],['s5a8k0'],['AMC'],"['0, 0, 0']","['20, 20, 20']","['27372603, 27372766, 27372768']"
['Natural Selection'],['s56e19'],['DD'],"['42, 50, 45']","['84, 84, 84']","['27372603, 27372766, 27372768']"
['Golden Cross on Gold Price Might Be Signalling A Major Bullish Upwards Move'],['s55goq'],['A'],"['16, 19, 19']","['144, 144, 144']","['27372603, 27372766, 27372768']"
['Here you have great DD done on Sorrento'],['s54pm5'],['DD'],"['7, 5, 5']","['84, 84, 84']","['27372603, 27372766, 27372768']"
"[""Turning around Cathie Wood's Titanic""]",['s542hr'],['ARKK'],"['49, 50, 50']","['80, 80, 80']","['27372603, 27372766, 27372768']"
['This is what I did with my GME earnings'],['s52np9'],['GME'],"['1, 6, 6']","['116, 116, 116']","['27372603, 27372766, 27372768']"
"['ARKK (Cathie Wood) - the good, the bad and the amazing.']",['s50mea'],['ARKK'],"['35, 38, 38']","['80, 80, 80']","['27372603, 27372766, 27372768']"
"[""You're all about to lose a lot of money.""]",['s4z8i9'],['NYC'],"['16398, 17488, 17497']","['11, 11, 11']","['27372604, 27372766, 27372768']"
['Why AMC won’t squeeze to 100K (Using basic Logic)'],['s4ycc3'],['AMC'],"['0, 0, 0']","['20, 20, 20']","['27372604, 27372766, 27372768']"
"['Let’s be honest! Out of all meme stock GME, AMC, BB and NOK, Nokia seems to be the most promising one. Just saying 🤷\u200d♂️']",['s4y7z1'],['BB'],"['0, 0, 0']","['9, 9, 9']","['27372604, 27372766, 27372768']"
