 num_hrefs, num_imgs, num_videos, title_subjectivity, title_sentiment_polarity, abs_title_subjectivity, abs_title_sentiment_polarity, shares
4,1,0,0.5,-0.1875,0,0.1875,593
3,1,0,0,0,0.5,0,711
3,1,0,0,0,0.5,0,1500
9,1,0,0,0,0.5,0,1200
19,20,0,0.454545455,0.136363636,0.045454545,0.136363636,505
2,0,0,0.642857143,0.214285714,0.142857143,0.214285714,855
21,20,0,0,0,0.5,0,556
20,20,0,1,0.5,0.5,0.5,891
2,0,0,0.125,0,0.375,0,3600
4,1,1,0,0,0.5,0,710
11,1,0,0,0,0.5,0,2200
7,1,0,0,0,0.5,0,1900
18,11,0,1,-1,0.5,1,823
4,0,21,1,-1,0.5,1,10000
19,9,0,0.75,0.55,0.25,0.55,761
10,1,0,0.75,-0.25,0.25,0.25,1600
26,12,1,0.566666667,-0.1,0.066666667,0.1,13600
11,1,0,0,0,0.5,0,3100
3,1,0,0.857142857,-0.714285714,0.357142857,0.714285714,5700
24,42,0,0.5,0,0,0,17100
21,20,0,0,0,0.5,0,2800
9,1,1,0,0,0.5,0,598
20,20,0,0,0,0.5,0,445
1,1,0,0.45,0.4,0.05,0.4,1500
3,1,0,0.7,-0.4,0.2,0.4,852
5,1,0,0.9,0.4,0.4,0.4,783
5,1,0,0,0,0.5,0,1500
22,28,0,0.5,0.5,0,0.5,1800
1,0,0,0,0,0.5,0,462
18,1,0,0.5,0.5,0,0.5,425
8,1,1,0,0,0.5,0,3200
2,19,0,0,0,0.5,0,3900
0,14,0,0,0,0.5,0,480
5,1,0,1,1,0.5,1,573
7,1,0,0,0,0.5,0,3600
4,1,0,0.55,0.35,0.05,0.35,343
27,20,0,1,-0.6,0.5,0.6,7700
9,0,1,0.666666667,-0.5,0.166666667,0.5,2600
8,1,0,0,0,0.5,0,504
4,0,1,0.4,0.1,0.1,0.1,2100
21,20,0,0,0,0.5,0,1100
0,1,0,0,0,0.5,0,401
24,42,0,0,0,0.5,0,4200
19,20,0,0.7,-0.05,0.2,0.05,1200
20,20,0,0,0,0.5,0,1500
2,1,0,0,0,0.5,0,575
25,20,0,0,0,0.5,0,507
5,0,6,0.583333333,0.25,0.083333333,0.25,1200
21,20,0,0,0,0.5,0,695
20,20,0,0,0,0.5,0,1200
2,0,1,0.85,-0.4,0.35,0.4,4900
21,20,0,0.642857143,0.214285714,0.142857143,0.214285714,382
21,20,0,0,0,0.5,0,400
5,1,0,0.427272727,0.168181818,0.072727273,0.168181818,4600
21,20,0,0.333333333,0.25,0.166666667,0.25,2400
7,1,0,0.5,-0.1,0,0.1,1600
11,1,0,0.65,-0.5,0.15,0.5,1100
7,0,0,0.25,0.2,0.25,0.2,1300
9,23,0,0.454545455,0.136363636,0.045454545,0.136363636,819
5,10,1,0.5,0.136363636,0,0.136363636,585
19,19,0,0,0,0.5,0,536
3,1,0,0,0,0.5,0,834
22,20,0,0.333333333,0.25,0.166666667,0.25,645
1,4,0,0.066666667,0.033333333,0.433333333,0.033333333,598
21,20,0,0,0,0.5,0,217
3,1,0,0.75,-0.125,0.25,0.125,3200
1,1,1,0.375,-0.0625,0.125,0.0625,545
7,1,0,0.483333333,0.416666667,0.016666667,0.416666667,1800
4,1,0,0.5,0.5,0,0.5,1200
3,1,0,0,0,0.5,0,732
8,1,0,0,0,0.5,0,1200
4,1,0,0,0,0.5,0,2800
3,1,0,0,0,0.5,0,495
14,11,0,0.5,0.5,0,0.5,690
19,20,0,0.454545455,0.136363636,0.045454545,0.136363636,1300
7,1,0,0,0,0.5,0,552
3,12,1,0.454545455,0.136363636,0.045454545,0.136363636,631
10,1,1,0,0,0.5,0,4800
15,1,0,0,0,0.5,0,851
5,0,0,0,0,0.5,0,755
8,1,0,0.3,0.2,0.2,0.2,468
4,9,0,0,0,0.5,0,4600
5,1,0,0,0,0.5,0,1300
14,1,0,0.3,0,0.2,0,1200
5,9,0,0,0,0.5,0,1100
20,20,0,0,0,0.5,0,1500
20,16,0,0.1,-0.1,0.4,0.1,2400
3,1,0,0.666666667,0.333333333,0.166666667,0.333333333,1200
3,1,1,0.4,0.1,0.1,0.1,1700
21,20,0,0.8,0.4,0.3,0.4,1200
20,20,0,0.3,0.1,0.2,0.1,500
6,13,0,0.066666667,0.033333333,0.433333333,0.033333333,455
1,0,0,0,0,0.5,0,1100
17,1,0,0,0,0.5,0,459
26,1,0,0,0,0.5,0,1400
5,1,0,0,0,0.5,0,6400
6,11,0,1,-1,0.5,1,4800
20,19,0,0.2,-0.1,0.3,0.1,695
32,1,0,0,0,0.5,0,341
3,0,11,0.1,0,0.4,0,1900
3,0,1,0.54375,-0.25625,0.04375,0.25625,1200
23,19,0,0.5,0.25,0,0.25,450
19,19,0,0,0,0.5,0,663
